0,1,2,3,clue
40,COLE,PAIN,TIP,RAPPERS MINUS FIRST LETTER
BREAD,BACON,LETTUCE,TOMATO,B.L.T. INGREDIENTS
BLOCK,CLOG,JAM,STOP,OBSTRUCT
DOUBLE,HIT,RUN,WALK,BASEBALL STATS
FRY,TALK,WONDER,WORLD,SMALL ___
PLANT,SEED,WATER,WEED,GARDENING NOUNS/VERBS
CAESAR,GREEK,GREEN,WEDGE,KINDS OF SALADS
FEUD,MILLIONAIRE,PYRAMID,WHEEL,"CLASSIC GAME SHOWS, FAMILIARLY"
WAY,WEE,WHY,WHOA,W + VOWEL SOUND
CLUB,GROUP,PARTY,TEAM,ORGANIZATION
CLARITY,DEFINITION,DETAIL,RESOLUTION,"SHARPNESS, AS OF AN IMAGE"
CHAMPAGNE,DIJON,NICE,TOURS,PLACES IN FRANCE
BALL,COUNTDOWN,FIREWORKS,KISS,HAPPY NEW YEAR!
ORCA,PANDA,SKUNK,ZEBRA,BLACK-AND-WHITE ANIMALS
CHAIN,SERIES,STRING,TRAIN,SEQUENCE
BASS,DOVE,DESERT,WIND,HETERONYMS
BEAR,SAND,SPEED,TOURIST,___ TRAP
CROP,POLO,TANK,TEE,SHIRTS
BAD,FLY,FRESH,RAD,"COOL, IN ’80S SLANG"
BEE,EX,GEE,JAY,LETTER SPELLINGS
BOY,BY,CURIOUS,SAINT,___ GEORGE
BUMPER,HOOD,TIRE,TRUNK,PARTS OF A CAR
BOLT,DART,DASH,ZIP,MOVE QUICKLY
CARDINAL,JAY,LARK,SWIFT,BIRDS
HANCOCK,HOLIDAY,MONK,PARKER,JAZZ LEGENDS
MESSAGE,OMEN,SIGN,WARNING,INDICATION OF THINGS TO COME
GEN,MS,PROF,REV,NAME PREFIXES
CHARCOAL,INK,PAINT,PASTEL,ART MEDIUMS
BELL,BLACK,DR,GHOST,___ PEPPER
ALLEY,DRIVE,LANE,STREET,ROAD NAMES
FOLIO,LEAF,PAGE,SHEET,PAPER IN A BOOK
CHECK,CURB,LIMIT,STEM,RESTRAIN
BLOW,HOLD,PICK,THUMB,THINGS YOU CAN DO TO YOUR NOSE
BABY,BOO,DEAR,LOVE,DARLING
LINE,POINT,RAY,SEGMENT,BASIC GEOMETRIC OBJECTS
ENERGY,FIRE,JUICE,ZIP,OOMPH
AGENT,CODE,SANTA,SAUCE,SECRET ___
LIGHT,MELLOW,MILD,SOFT,GENTLE
BELLY,CHOP,HOCK,SHOULDER,CUTS OF PORK
CROWN,ROBE,TABLET,TORCH,STATUE OF LIBERTY FEATURES
CANDLE,DANDELION,DICE,EYELASH,THINGS TO BLOW ON FOR WISHES/LUCK
BOAT,CAR,PLANE,TRAIN,MEANS OF TRANSPORTATION
DOWN,GAME,IN,ON BOARD,WILLING TO PARTICIPATE
DASH,DROP,PINCH,SPLASH,"LITTLE BIT, IN A RECIPE"
BLUE,GOOSE,RASP,STRAW,___BERRY [note no space]
ANGEL,CLOWN,PIRATE,WITCH,CLASSIC HALLOWEEN COSTUMES
COMB,HIVE,HONEY,WAX,BEE CREATIONS
PERIOD,SPELL,STRETCH,WHILE,INTERVAL OF TIME
DEAR,HAIR,HOARSE,WAIL,ANIMAL HOMOPHONES
DRYER,HAMPER,IRON,WASHER,SEEN IN A LAUNDRY ROOM
DIRECT,GUIDE,LEAD,STEER,SHEPHERD
IODINE,IOTA,MYSELF,ONE,WHAT “I” MIGHT MEAN
DEATH,HIDDEN,SILICON,UNCANNY,___ VALLEY
BUZZ,CALL,DIAL,RING,CONTACT VIA PHONE
APPENDIX,CHAPTER,INDEX,PREFACE,BOOK SECTIONS
DINKY,LITTLE,MINUTE,SLIGHT,WEE
ITCHY,JERRY,PINKY,SPEEDY,CARTOON MICE
BELT,BRACELET,TIE,WATCH,ACCESSORIES
BIT,JOKE,ROUTINE,SKETCH,COMEDIAN’S OUTPUT
APPEAL,CHARM,DRAW,PULL,ATTRACTION
CANINE,FREIGHT,OFTEN,STONE,TWO LETTERS + NUMBER
FLASH,JIFFY,SECOND,WINK,BRIEF MOMENT
CHIEF,FIRST,MAIN,PRINCIPAL,PRIMARY
BROADWAY,FIFTH,MADISON,PARK,AVENUES IN N.Y.C.
AMATEUR,ELEVENTH,HAPPY,RUSH,___ HOUR
BANK,SAVE,STASH,STORE,RESERVE FOR LATER
GALL,GUTS,NERVE,STONES,"BOLDNESS, FIGURATIVELY"
CARROT,COAL,SNOW,STICKS,USED TO BUILD A SNOWMAN
BONE,BUSINESS,GIRL,PAGES,FUNNY ___
HOE,PLOW,RAKE,SICKLE,FARM TOOLS
PLOT,PLOY,RUSE,TRICK,SCHEME
AMUSE,DELIGHT,PLEASE,TICKLE,MAKE HAPPY
BANG,PLOP,SPLASH,THUD,ONOMATOPOEIA
CRAB,CRANK,GROUCH,GRUMP,CURMUDGEON
CROUCH,DUCK,SQUAT,STOOP,GET LOW
ANTHEM,FLAG,MOTTO,SEAL,NATIONAL SYMBOLS
CHEAT,CROOK,QUACK,SHARK,SWINDLER
BADGER,BUG,HOUND,NAG,PESTER
ARENA,BOWL,DOME,FIELD,SPORTS VENUES
DIVIDE,FORK,PART,SPLIT,SEPARATE
FOX,LINING,SCREEN,SPOON,SILVER ___
BUNKER,FAIRWAY,GREEN,ROUGH,GOLF COURSE PARTS
ENOUGH,MERCY,STOP,UNCLE,“I GIVE!”
BAWDY,BLUE,COARSE,RISQUE,INDECENT
BOUGH,COUGH,DOUGH,TOUGH,”-OUGH” WORDS THAT DON’T RHYME
CLOUD,FOG,HAZE,MIST,MURKY CONDITION
SHADOW,TAIL,TRACK,TRAIL,FOLLOW
BALL,BUMPER,FLIPPER,PLUNGER,PINBALL MACHINE COMPONENTS
ICE,IRE,FIN,NETHER,___LAND COUNTRIES
CHIFFON,SATIN,SILK,VELVET,LUXURIOUS FABRICS
PERCH,ROOST,SETTLE,LAND,COME DOWN TO REST
EYELET,LACE,SOLE,TONGUE,SHOE PARTS
BABY,BLOW,PACKAGE,SPEECH,THINGS THAT ARE DELIVERED
BANK,BED,DELTA,MOUTH,PARTS OF A RIVER
BREEZE,CINCH,PICNIC,SNAP,SOMETHING EASY TO DO
COIL,SPIRAL,TWIST,WIND,WRAP AROUND IN A CIRCLE
BOUND,LEAP,SPRING,VAULT,JUMP INTO THE AIR
FLOAT,SHAKE,SPLIT,SUNDAE,ICE CREAM TREATS
BOLT,NAIL,RIVET,SCREW,HARDWARE FASTENERS
CORN,OLIVE,PALM,PEANUT,KINDS OF COOKING OIL
FINGERS,NOTE,RICE,WICKET,STICKY ___
EBB,FADE,FLAG,WANE,DECLINE
PURE,SHEER,TOTAL,UTTER,ABSOLUTE
AIR,SPEAK,STATE,VOICE,EXPRESS
BANNER,PRINCE,STARK,WAYNE,SUPERHERO LAST NAMES
HI,LA,MA,OK,STATE ABBREVIATIONS
BET,E,HALLMARK,USA,CABLE CHANNELS
ALFA,BRAVO,ROMEO,TANGO,IN THE NATO ALPHABET
BOO,POM,TOM,YO,___-___
CLEF,NOTE,REST,STAFF,FOUND ON SHEET MUSIC
BULL,CRAB,SCALES,TWINS,ZODIAC SYMBOLS
CAPITOL,COLUMBIA,VIRGIN,ISLAND,RECORD LABELS
CAN,GEM,LIB,TAU,ZODIAC SIGN BEGINNINGS
BIG,GIANT,GREAT,HUGE,ENORMOUS
FICTION,HUMOR,POETRY,TRAVEL,BOOKSTORE SECTIONS
CHEERS,EUPHORIA,FELICITY,GLEE,TV SHOWS WITH HAPPY-SOUNDING NAMES
CONSTRUCTION,FRASIER,PAPER,WHOOPING,___ CRANE
BAGUETTE,BUN,LOAF,ROLL,UNIT OF BREAD
CLINCH,GUARANTEE,LOCK,SECURE,"ASSURE, AS A WIN"
CHIP,MARK,NICK,SCRATCH,SMALL IMPERFECTION
HAIR,LETTUCE,STATE,STEAM,HEAD OF ___
CABLE,ELECTRIC,GAS,WATER,MONTHLY BILLS
ACOUSTIC,AUDITORY,HEARD,SONIC,RELATED TO SOUND/HEARING
COUPLE,HITCH,LINK,TIE,CONNECT
AMP,FIRE,HYPE,PUMP,"EXCITE, WITH “UP”"
BASKET,BIN,CHEST,HAMPER,CONTAINERS
BAND,CIRCLE,HOOP,RING,CIRCULAR SHAPES
CAP,CHECK,CURB,LIMIT,RESTRICT
NBA,PAPER,PEARL,TRAFFIC,___ JAM
MALL,MARKET,OUTLET,STORE,PLACES TO SHOP
SHAVE,THREAD,TWEEZE,WAX,WAYS TO REMOVE HAIR
CUT,PIECE,SHARE,TAKE,PORTION OF PROFIT
ALLEN,CRESCENT,MONKEY,SOCKET,KINDS OF WRENCHES
DODGE,DUCK,ESCAPE,SKIRT,AVOID
BIRDS,NOTORIOUS,REBECCA,ROPE,HITCHCOCK MOVIES
GOOSE,HOBBES,ROBIN,WATSON,SIDEKICKS
COTTAGE,CREAM,SAY,STRING,___ CHEESE
ARCH,BALL,SOLE,TOE,FOOT PARTS
BASS,HARP,HORN,ORGAN,MUSICAL INSTRUMENTS
COME,DOWN,SIT,STAY,DOG COMMANDS
DOG,HEEL,JERK,SNAKE,BADDIE
BEDROOM,DEN,KITCHEN,STUDY,ROOMS IN A HOUSE
ATOLL,BAR,ISLAND,KEY,LAND SURROUNDED BY WATER
CRAM,JAM,PACK,STUFF,FILL TO EXCESS
BAG,COUNTER,DIP,SPROUT,BEAN ___
HUM,SING,SCAT,WHISTLE,CARRY A TUNE
COUNT,GROSS,SUM,TOTAL,WHOLE AMOUNT
LIME,MINT,RUM,SODA,MOJITO INGREDIENTS
GLUE,GUM,TAPE,STICK,THINGS THAT ARE “STICKY”
CITY,COUNTY,TOWN,VILLAGE,MUNICIPALITIES
CHOP,GRIND,PULSE,PUREE,BLENDER BUTTONS
CAPITAL,EQUITY,INTEREST,STOCK,FINANCIAL TERMS
IVY,JUSTICE,LITTLE,PREMIER,___ LEAGUE
HIDDEN,PRIVATE,REMOTE,SECRET,SECLUDED
AMOUNT,NUMBER,QUANTITY,VOLUME,AGGREGATE SIZE
CANAL,CHANNEL,SOUND,STRAIT,BODIES OF WATER
96,MOW,NOON,SIS,READS THE SAME ROTATED 180°
KNOCK,PAN,ROAST,SLAM,CRITICIZE
ALONE,CATFISH,CHOPPED,SURVIVOR,REALITY SHOWS
FIAT,JAGUAR,MINI,RAM,CAR BRANDS
BACHELOR,LILY,MAXI,MOUSE,___ PAD
PASTY,PIE,TART,TURNOVER,FOODS WITH CRUSTS
BOUQUET,PARFAIT,RAGOUT,RAPPORT,ENDING IN A SILENT “T”
JAPAN,POLAND,TUNISIA,TURKEY,COUNTRIES WITH RED AND WHITE FLAGS
BIRD,CURRY,JAMES,JORDAN,N.B.A. GREATS
CANYON,GULCH,PASS,RAVINE,AREAS BETWEEN MOUNTAINS AND HILLS
GORGE,GULP,SCARF,WOLF,EAT VORACIOUSLY
APPLE,BASHFUL,MIRROR,QUEEN,FEATURED IN “SNOW WHITE”
CHEN,CLARK,COWL,CRAVEN,“C” + BIRD
CANINE,FANG,MOLAR,TUSK,TYPES OF TEETH
CHIC,HIP,HOT,IN,FASHIONABLE
FLOSS,ROBOT,VOGUE,WORM,DANCE MOVES
LEECH,STRAW,VACUUM,VAMPIRE,THINGS THAT SUCK
CARDINAL,LAMA,MONK,PASTOR,RELIGIOUS FIGURES
BABOON,BONOBO,GIBBON,GORILLA,PRIMATES
MANGO,MINT,TAMARIND,TOMATO,CHUTNEY VARIETIES
APE,MIME,MIRROR,PARROT,IMITATE
BIRTH,CREATION,DAWN,START,ONSET
AUGUST,GRAND,NOBLE,REGAL,VENERABLE
MARCH,STEP,STRIDE,TREAD,WALK
EARTH,GROUNDHOG,LABOR,MAY,___ DAY HOLIDAYS
GANDER,GLANCE,GLIMPSE,LOOK,QUICK PEEK
ACT,BLUFF,CHARADE,FRONT,DECEIT
CLIFF,CRAG,LEDGE,RIDGE,PARTS OF A MOUNTAIN
PEAK,PEEK,PEKE,PIQUE,HOMOPHONES
DIPS,LUNGES,PLANKS,SQUATS,BODYWEIGHT EXERCISES
BEST,CHEERS,REGARDS,THANKS,EMAIL SIGN-OFFS
CARDS,JAYS,NATS,YANKS,"M.L.B. TEAMS, FOR SHORT"
BANKS,MOSS,TAYLOR,WARREN,ELIZABETHS (AND ONE ELISABETH)
BULL,HOGWASH,NONSENSE,ROT,BALDERDASH
DIRECT,GUIDE,LEAD,STEER,HELM
BUFFALO,DEER,FISH,MOOSE,SINGLE/PLURAL ANIMALS
DANE,LAKE,SEAL,WHITE,GREAT ___
EW,ICK,PU,UGH,“GROSS!”
O,OK,US,W,MAGAZINES
HAI,JA,SI,DA,“YES” IN DIFFERENT LANGUAGES
OUI,WE,WEE,WII,HOMOPHONES
ANGER,FEAR,HAPPINESS,SURPRISE,BASIC EMOTIONS
BEHOLD,PRESTO,TADA,VOILA,BIT OF VOCAL FANFARE
GET,LAND,SECURE,WIN,OBTAIN
ADAM,CARPENTER,FIRE,RED,___ ANT
LETTER,PARAGRAPH,SENTENCE,WORD,UNIT OF LANGUAGE
FEATURE,HALLMARK,STAMP,TRAIT,TRADEMARK
CARD,CLOWN,CUTUP,JOKER,FUNNY PERSON
BOOK,TABLE,TEA,TREE,THINGS WITH LEAVES
FORD,GRANT,LINCOLN,WILSON,PRESIDENTS
COACH,GM,PLAYER,SCOUT,SPORTS PROFESSIONALS
BMW,HONDA,JAGUAR,SUBARU,CAR COMPANIES
AUTO,POST,SEMI,SUB,COMMON PREFIXES
LIGHT,SHORT,SPARE,THIN,SPARSE/LACKING
BALL,BLAST,KICK,RIOT,FUN TIME
BOOM,DOLLY,LENS,TRIPOD,FILMMAKING EQUIPMENT
CLUE,GRIP,LIFE,ROOM,“GET A ___!”
ANISE,DILL,NUTMEG,SAGE,SPICES
BRIGHT,QUICK,SHARP,SMART,INTELLIGENT
AXE,DEGREE,OLD SPICE,SECRET,DEODORANTS
CLUB,MACE,SPEAR,SWORD,MEDIEVAL WEAPONS
DIET,EXERCISE,FRESH AIR,SLEEP,DOCTORS’ ORDERS
COMPOSE,FORWARD,REPLY ALL,SEND,EMAIL ACTIONS
RADIOLAB,SERIAL,UP FIRST,WTF,PODCASTS
BLACK,DIVINE,PROP,SKETCH,___ COMEDY
FLIP-FLOP,SUNSCREEN,TOWEL,UMBRELLA,BROUGHT TO THE BEACH
CURLY,SHOESTRING,WAFFLE,WEDGE,TYPES OF FRENCH FRIES
HEDGE,SEE-SAW,WAVER,YO-YO,EQUIVOCATE
BREEZE,MARY,MULE,RUSSIAN,SECOND WORDS OF VODKA COCKTAILS
CHIME,DING,PING,RING,DIGITAL NOTIFICATION SOUNDS
RAT,SING,SNITCH,SQUEAL,TATTLE
CAMP,DIVISION,FACTION,WING,GROUP WITHIN A GROUP
BING,EDGE,SURFACE,WORD,MICROSOFT PRODUCTS
BOND,CD,OPTION,STOCK,INVESTMENTS
LP,PLATTER,VINYL,WAX,TERMS FOR RECORDS
BOUILLON,DIE,ICE,SUGAR,CUBE-SHAPED
FUNNY,HERRING,SOUP,WISH,WORDS THAT GO WITH “BONE”
EVEN,LEVEL,STABLE,STEADY,UNCHANGING
LANCE,PIN,SKEWER,SPIT,"LONG, SHARP OBJECTS"
BILLBOARD,PITCHFORK,ROLLING STONE,SPIN,MUSIC PUBLICATIONS
UNIFORM,BICYCLE,TRILOGY,QUADRANT,WORDS WITH NUMERICAL PREFIXES
DRILL,PRACTICE,STUDY,TRAIN,WAYS TO PREPARE
HOSE,PIPE,STRAW,TUBE,HOLLOW CYLINDERS
CANDLESTICK,KNIFE,ROPE,WRENCH,WEAPONS IN THE GAME CLUE
CIGARETTE,BIKE,TICKET,SPORTS,“E-” THINGS
HOWEVER,STILL,THOUGH,YET,NEVERTHELESS
HEAR,KNOCK,THERE,TUT,REPEATED WORDS IN EXPRESSIONS
ARE,SEE,WHY,YOU,WORDS ABBREVIATED WITH LETTERS
FAMILY,FLUSH,JELLY,WE,ROYAL ___
BURN,KINDLE,LIGHT,TORCH,IGNITE
DATA,INFO,INTEL,NEWS,INFORMATION
DELL,GLEN,HOLLOW,VALLEY,SMALL WOODED AREA
APPLE,COMPUTER,PLANET,REACTOR,THINGS WITH CORES
FOLLOW,LIKE,SHARE,SUBSCRIBE,SOCIAL MEDIA ACTIONS
DARN,HEM,SEAM,SEW,USE A NEEDLE AND THREAD
ER,HOUSE,RATCHED,SCRUBS,SHOWS SET IN HOSPITALS
ERM,UH,UM,WELL,EXPRESSIONS OF HESITATION
DAISY,ROSE,TULIP,VIOLET,FLOWERS
BARN,CHICKEN,FARMER,TRACTOR,SEEN ON A FARM
ASTER,CARPENTER,CRAVEN,WAN,HORROR DIRECTORS
DUST,LIFE,SPORTS,YELLOW,___ JACKET
BEAK,FEATHER,TALON,WING,BIRD FEATURES
FLASH,HEARTBEAT,SECOND,WINK,BLINK OF AN EYE
BAMBOO,DRAGON,SEASON,WIND,MAHJONG TILES
BELLY,HOT,PANIC,SNOOZE,___ BUTTON
HASH,JUMBLE,MEDLEY,STEW,MISHMASH
CHALLENGE,CONFRONT,FACE,OPPOSE,GO UP AGAINST
BROOD,CLUTCH,HATCH,LITTER,GROUP OF OFFSPRING
BODY,BRIDGE,FRET,NECK,GUITAR PARTS
SIGHT,SMELL,TASTE,TOUCH,SENSES
DRESS,LOOK,MANNER,STYLE,APPEARANCE
DITTO,LIKEWISE,SAME,SECOND,“AGREE!”
BLUE,HARVEST,NEW,SAILOR,___ MOON
BRASS,CHEEK,GALL,NERVE,SHAMELESS BOLDNESS
COPPER,GOLD,NICKEL,SILVER,METAL ELEMENTS
MERCURY,SKY,SPARKS,LIBERTY,W.N.B.A. TEAMS
CARS,ELEPHANTS,SWIMMERS,TREES,THINGS WITH TRUNKS
BUILD,GROW,SWELL,MOUNT,INCREASE
ACES,KEEN,NEATO,NIFTY,"EXCELLENT, IN OLD SLANG"
FOAM,FROTH,HEAD,LATHER,FINE BUBBLES
BUBBLE,GLOBE,MARBLE,PEARL,SPHERICAL THINGS
FUTURE,PAST,PERFECT,PRESENT,GRAMMAR TENSE TERMS
GOODNESS,HEAVENS,LORD,MERCY,“GRACIOUS ME!”
DRUMMER,LADY,RING,SWAN,12 DAYS OF CHRISTMAS
CORN,COUGH,MAPLE,SIMPLE,___ SYRUP
COLONY,HERD,PRIDE,SCHOOL,ANIMAL GROUPS
CRANNY,NICHE,NOOK,RECESS,SMALL OPENING
CLASSIC,DEFINITIVE,MODEL,TEXTBOOK,PARADIGMATIC
BACKPACK,BIGWIG,DOWNTOWN,RAGTAG,RHYMING COMPOUND WORDS
FOCUS,RING,SILENT,VIBRATE,CELL PHONE MODES
DRIVE,INSPIRE,MOTIVATE,SPUR,IMPEL
CONNECTION,FEELINGS,SPARK,VIBE,ROMANTIC BEGINNINGS
CANDY,COPY,KNOCKS,SELTZER,HARD ___
CHILL,HANG,LOAF,LOUNGE,RELAX
BANGER,BOP,GROOVE,JAM,CATCHY SONG
MASH,ROAST,SCONE,TRIFLE,BRITISH CUISINE
BIND,PICKLE,SCRAPE,SPOT,STICKY SITUATION
BOWL,DISH,PLATE,SAUCER,TABLEWARE
BALONEY,BUNK,CROCK,TRIPE,NONSENSE
CUP,HOOK,STRAP,WIRE,BRA PARTS
LASER,RADAR,SCUBA,SPAM,ACRONYMS
DEN,HIVE,LAIR,NEST,ANIMAL HOMES
CLOUD,METAVERSE,NET,WEB,VIRTUAL SPACES
EQUAL,EVEN,FAIR,JUST,EQUITABLE
GOOD,IMPOSSIBLE,NOTHING,WARREN,___ BURGER
FABRICATE,FAKE,FIX,FORGE,FALSIFY
FIDDLESTICKS,FIE,FRICK,FUDGE,MILD OATHS
FARGO,FIREFLY,FLEABAG,FLIPPER,TV SHOWS
FASHION,FOOD,FORWARD,FRIENDS,FAST ___
BORE,DRAG,SNOOZE,YAWN,SOMETHING TIRESOME
BREEZE,DRAFT,GUST,PUFF,BIT OF WIND
BITE,KICK,TANG,ZIP,PIQUANCY
BOXER,GOGGLE,PANT,TONG,SINGULAR OF THINGS SEEN IN PAIRS
BOO,HISS,JEER,RASPBERRY,TAUNTS
BOMB,DUD,FLOP,LEMON,FAILURE
DESERT,GHOST,IGNORE,JILT,RUDELY BREAK OFF CONTACT
BOTTOM,CANDY,GARDEN,STAR,ROCK ___
FRIDAY,SATURDAY,SUNDAY,THURSDAY,DAYS OF THE WEEK
ROT,SOUR,SPOIL,TURN,GO BAD
FESTER,LURCH,THING,WEDNESDAY,“THE ADDAMS FAMILY” CHARACTERS
CAT,CHANCE,LIP,TUESDAY,FAT ___
FILE,HAMMER,LEVEL,SAW,TOOLS
JERK,TUG,WRENCH,YANK,PULL
COPY,FIND,PRINT,SAVE,SHORTCUT COMMANDS
BABE,BEETHOVEN,CHARLOTTE,WILLY,TITLE MOVIE ANIMALS
BOTTOM,BUNS,SEAT,TAIL,BUTT
CORD,CRADLE,DIAL,HANDSET,ROTARY PHONE PARTS
CRIB,DIGS,JOINT,PAD,SLANG FOR HOME
BOOTY,LOOT,SPOILS,SWAG,PLUNDER
FAVA,KIDNEY,LIMA,PINTO,BEANS
LAGOS,LIMERICK,LINCOLN,LUXOR,CITIES BEGINNING WITH “L”
LINE,METER,RHYME,VERSE,POETRY TERMS
CREATOR,DUDE,RAPPER,STALLION,“THE(E) ___” RAPPERS
BLOCK,COVER,HIDE,MASK,CONCEAL
CROWN,DIAL,HAND,STRAP,PARTS OF A WATCH
LASSO,SHIELD,SWORD,TIARA,WONDER WOMAN’S COSTUME
